MAIN,MAIN,MAIN,,,MAIN,MAIN,MAIN,MAIN,DETAIL,DETAIL,DETAIL,DETAIL,DETAIL,DETAIL,MAIN,DETAIL,DETAIL,DETAIL,DETAIL,DETAIL,MAIN,INTERNAL,,INTERNAL,MAIN,DETAIL,DETAIL,DETAIL,MAIN,MAIN,MAIN,,MAIN,,,,,,,,,,,,
Stage,Day,Start Date,Taken?,Week,Start Closest City,Stop Name,Start Lat Long,Stop Lat Long,Detour,Detour Comment,Main Surface,Description ,# of roads (picklist),# of cities (Picklist) ,Level - Difficulty,Est. Temp ,Est. Daylight,Est. Rain,Interest Rank,Highlights,Country,Shore Inventory Complete,Handover,Rate - Scenery,Link to Detailed Document,Start Place Pictures,Closest Airport - Name,Closest Airport - Distance,Stage Taken,Team Name,Main Shoreholder,Nat 1,Total Team members, Shoreholder 2,Nat 2,Shoreholder 3,Nat 3,Shoreholder 4,Nat 4,Shoreholder 5,,Real Start Lat Lon,Same?,Start Description,V2.0
51,Sun,25-08-2019,FALSE,8,Aeropuerto de Santander,Punta De Sopica > Urb. La Tablia,"43.42928, -3.80387","43.43525, -4.0536",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
52,Mon,26-08-2019,FALSE,9,Punta De Sopica > Urb. La Tablia,Bufones de Arenillas > Puertas de Vidiago,"43.43525, -4.0536","43.40787, -4.69148",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
53,Tue,27-08-2019,FALSE,9,Bufones de Arenillas > Puertas de Vidiago,Villar > Santa Mera,"43.40787, -4.69148","43.53447, -5.37541",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
54,Wed,28-08-2019,FALSE,9,Villar > Santa Mera,La Fontica > Banugues ,"43.53447, -5.37541","43.64336, -5.82141",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
55,Thu,29-08-2019,FALSE,9,La Fontica > Banugues ,Playa del Silencia > Castaneras,"43.64336, -5.82141","43.56642, -6.30007",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
56,Fri,30-08-2019,FALSE,9,Playa del Silencia > Castaneras,San Antonio,"43.56642, -6.30007","43.57011, -6.93064",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
57,Sat,31-08-2019,FALSE,9,San Antonio,Porto de Lago > Lago,"43.57011, -6.93064","43.71045, -7.45846",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
58,Sun,01-09-2019,FALSE,9,Porto de Lago > Lago,Eglesia de Santa Eulalia de Ladrido > O Mosteiro,"43.71045, -7.45846","43.70637, -7.82538",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
59,Mon,02-09-2019,FALSE,10,Eglesia de Santa Eulalia de Ladrido > O Mosteiro,Cala Burbujas > O Barral,"43.70637, -7.82538","43.64399, -8.06592",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
60,Tue,03-09-2019,FALSE,10,Cala Burbujas > O Barral,Ferrol,"43.64399, -8.06592","43.48261, -8.25437",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
BUFFER  6,Wed,04-09-2019,FALSE,10,Ferrol,Ferrol,"43.48261, -8.25437","43.48261, -8.25437",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
61,Thu,05-09-2019,FALSE,10,Ferrol,Punta Torrella > Torre,"43.48261, -8.25437","43.40375, -8.30833",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
62,Fri,06-09-2019,FALSE,10,Punta Torrella > Torre,Punta Falsa > Buno,"43.40375, -8.30833","43.2993, -8.77133",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
63,Sat,07-09-2019,FALSE,10,Punta Falsa > Buno,Arou,"43.2993, -8.77133","43.18606, -9.10608",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
64,Sun,08-09-2019,FALSE,10,Arou,Frixe,"43.18606, -9.10608","43.00893, -9.22422",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
65,Mon,09-09-2019,FALSE,11,Frixe,Punta Canton > Praia de Area Maior > Louro,"43.00893, -9.22422","42.75607, -9.10405",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
66,Tue,10-09-2019,FALSE,11,Punta Canton > Praia de Area Maior > Louro,Corrubedo,"42.75607, -9.10405","42.56874, -9.08231",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
67,Wed,11-09-2019,FALSE,11,Corrubedo,Catoira,"42.56874, -9.08231","42.66699, -8.72881",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
68,Thu,12-09-2019,FALSE,11,Catoira,Illa da Toxa,"42.66699, -8.72881","42.4997, -8.84181",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
69,Fri,13-09-2019,FALSE,11,Illa da Toxa,Cabo Udra,"42.4997, -8.84181","42.33905, -8.82454",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
70,Sat,14-09-2019,FALSE,11,Cabo Udra,Praia de Patos,"42.33905, -8.82454","42.1549, -8.82587",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
BUFFER  7,Sun,15-09-2019,FALSE,11,Praia de Patos,Praia de Patos,"42.1549, -8.82587","42.1549, -8.82587",,,To Check,To Check,,,,,,,,,ESP,,,,,,,,,,,,,,,,,,,,,,,,
71,Mon,16-09-2019,FALSE,12,Praia de Patos,Praia de Moledo > Fontela,"42.1549, -8.82587","41.84188, -8.87397",,,To Check,To Check,,,,,,,,,ESP / POR,,,,,,,,,,,,,,,,,,,,,,,,
72,Tue,17-09-2019,FALSE,12,Praia de Moledo > Fontela,Praia de Arvore > Mindelo,"41.84188, -8.87397","41.31861, -8.73979",,,To Check,To Check,,,,,,,,,POR,,,,,,,,,,,,,,,,,,,,,,,,
73,Wed,18-09-2019,FALSE,12,Praia de Arvore > Mindelo,Praia de Sao Jacinto > Sao Jacinto,"41.31861, -8.73979","40.64871, -8.75639",,,To Check,To Check,,,,,,,,,POR,,,,,,,,,,,,,,,,,,,,,,,,
